Имя,Фамилия,Отчество,Дата рождения,Пол,"Страна проживания","Адрес почтовый индекс",Девичья фамилия матери,Кодовое слово в вашем банке,Как вы узнали о нашем сайте,Email друга,Номер телефона своего парня,Какую сковороду предпочитаешь
Geno,Cattach,Mordecai,23-Apr-2019,Мужской,Qatar,9745 Lawn Street,Gable,Mikey and Nicky,Sub-Ex,mgable0@ft.com,+974 526 679 8281,Delta
Brinn,Guthrie,Afton,22-Jan-2019,Женский,Germany,02070 Jenifer Crossing,Falkingham,"Indian in the Cupboard, The",Treeflex,afalkingham1@people.com.cn,+49 415 106 8906,Tango
Nels,Durrell,Raul,21-Apr-2019,Мужской,China,250 Iowa Place,Readshaw,Smile,Zaam-Dox,rreadshaw2@dropbox.com,+86 608 948 3380,Kilo
Eliot,O'Mullaney,Bram,07-Jul-2019,Мужской,Italy,3537 Emmet Drive,Medcraft,Tora-san's Rise and Fall (Otoko wa tsurai yo: Torajiro aiaigasa),Cardify,bmedcraft3@bandcamp.com,+39 909 295 5471,Mike
Patric,Barlie,Martie,10-Oct-2018,Мужской,Philippines,3 Quincy Court,Bestwick,Strul,Viva,mbestwick4@ask.com,+63 172 781 4654,Romeo
Ebeneser,Roast,Jerad,01-May-2019,Мужской,Indonesia,72 Monterey Road,Minister,"Little Help, A",Ventosanzap,jminister5@deviantart.com,+62 879 124 2274,Romeo
Valida,McGeown,Phillida,21-Mar-2019,Женский,Jordan,1 Manley Trail,Rashleigh,"Mask of Zorro, The",Holdlamis,prashleigh6@bluehost.com,+962 336 251 9042,Sierra
Barry,Haylor,Gregor,26-May-2019,Мужской,China,34097 Kensington Drive,Atterley,Home on the Range,Sonsing,gatterley7@nature.com,+86 328 322 6432,Sierra
Munmro,Dewhurst,Pattie,05-Sep-2018,Мужской,China,29188 Anthes Point,Bolter,"Lady and the Duke, The (Anglaise et le duc, L')",Transcof,pbolter8@china.com.cn,+86 535 896 8912,Alfa
Philipa,Son,Corene,07-Oct-2018,Женский,France,7207 Namekagon Terrace,Aprahamian,Audrey Rose,Y-Solowarm,caprahamian9@photobucket.com,+33 356 338 2085,Whiskey
